DatasetName,SightingKey,SpeciesCode,KingdomName,ClassName,FamilyName,SortOrder,ScientificName,Exotic,CommonName,NSWStatus,CommStatus,SensitivityClass,ProfileID,DateFirst,DateLast,NumberIndividuals,EstimateTypeCode,SourceCode,ObservationType,Status,ValidationFlags,LocationKey,Description,Latitude_GDA94,Longitude_GDA94,Zone,Easting,Northing,Accuracy,SightingNotes,LocationNotes,Column1
Wildlife Rehab Database,SPJGI7806977,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,30/07/2017 0:00,30/07/2017 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0879400,"Suburb Only Provided: Mildura Road, ",-32.32204,141.55206,54,551962,6423734,64427,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI7806978,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,30/07/2017 0:00,30/07/2017 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0879400,"Suburb Only Provided: Mildura Road, ",-32.32204,141.55206,54,551962,6423734,64427,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI7806979,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,4/08/2017 0:00,4/08/2017 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0881876,"Suburb Only Provided: Silverton Road, ",-31.77368,141.14706,54,513925,6484640,19214,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI7806984,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,27/08/2017 0:00,27/08/2017 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0877234,"Suburb Only Provided: Ivanhoe Road, ",-32.69967,144.14111,55,231987,6378393,70895,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI7806996,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,20/09/2017 0:00,20/09/2017 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0878969,"Suburb Only Provided: Tandou, ",-32.44172,142.71901,54,661597,6409301,65105,Encounter broad: Abandoned/Orphaned/Nestling; Encounter narrow: Abandoned/Orphaned,,
Wildlife Rehab Database,SPJGI7807000,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,6/10/2017 0:00,6/10/2017 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0879395,"Suburb Only Provided: Broken Hill, ",-32.32204,141.55206,54,551962,6423734,64427,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI7807001,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,11/10/2017 0:00,11/10/2017 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0884111,"Suburb Only Provided: Wilcannia, ",-31.28779,143.59936,54,747442,6535587,79470,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI7807009,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,24/10/2017 0:00,24/10/2017 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0879395,"Suburb Only Provided: Broken Hill, ",-32.32204,141.55206,54,551962,6423734,64427,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI7807013,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,31/10/2017 0:00,31/10/2017 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0879395,"Suburb Only Provided: Broken Hill, ",-32.32204,141.55206,54,551962,6423734,64427,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI7807024,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,28/11/2017 0:00,28/11/2017 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0879395,"Suburb Only Provided: Broken Hill, ",-32.32204,141.55206,54,551962,6423734,64427,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI7807031,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,31/12/2017 0:00,31/12/2017 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0879395,"Suburb Only Provided: Broken Hill, ",-32.32204,141.55206,54,551962,6423734,64427,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
